stack,track_id,Genotype,num_frames,total_path_length,net_displacement,directionality_ratio,mean_speed,max_speed,n_stationary,persistence_fraction,alpha_x,K_x,D_est_x,P_est_x,alpha_y,K_y,D_est_y,P_est_y,alpha,K,D_est,P_est,area_mean,area_delta_mean,area_delta_max,area_slope,perimeter_mean,perimeter_delta_mean,perimeter_delta_max,perimeter_slope,eccentricity_mean,eccentricity_delta_mean,eccentricity_delta_max,eccentricity_slope,solidity_mean,solidity_delta_mean,solidity_delta_max,solidity_slope,orientation_mean,orientation_delta_mean,orientation_delta_max,orientation_slope,early_speed_mean,late_speed_mean,speed_trend_slope,speed_acceleration,early_area_mean,late_area_mean,area_trend_slope,area_volatility,early_eccentricity_mean,late_eccentricity_mean,eccentricity_trend_slope,temporal_persistence,speed_cv,directional_consistency,r_peak,g_peak,corr_length
WT-1.tif,355,WT,6.0,26.046017739001964,22.76745272523374,0.874124134959072,4.341002956500327,11.012609606297001,1.0,0.874124134959072,1.6129139972675632,34.15888436999821,9175.81797620077,878.5731114185389,1.6129139972675632,34.15888436999821,9175.81797620077,878.5731114185389,1.6129139972675632,34.15888436999821,9175.81797620077,878.5731114185389,599.5,54.2,290,53.05714285714309,118.31507328156192,8.58111831820431,83.97665940288702,6.76977632907092,0.8669083242946402,0.005077895494826623,0.18175655072683428,0.013592679950403504,0.8579436846880343,-0.01699712643678162,0.20366613534270395,-0.00821313539833752,-1.081878539987382,-0.04019668818402451,0.362041747845933,-0.03781496101279011,1.489124055420237,5.261685055990499,0.6837247310506782,-0.5598528294330377,437.0,683.5,53.05714285714309,0.20991407414349736,0.7912358063794139,0.8734635264595207,0.013592679950403504,-0.36168350248771125,0.8135306097410435,0.6668181154927303,3.0,76840.63242703484,9.0
WT-1.tif,356,WT,2.0,0.30195580643412934,0.30195580643412934,1.0,0.15097790321706467,0.30195580643412934,1.0,1.0,,,,,,,,,,,,,501.5,-285.0,285,-284.9999999999966,129.39696961966996,-82.6274169979695,82.6274169979695,-82.6274169979685,0.9493834818731652,-0.07121475618773287,0.07121475618773287,-0.0712147561877323,0.8326339072214252,0.09453610712577709,0.09453610712577709,0.09453610712577583,-1.2303340064667063,-0.00922766284195542,0.00922766284195542,-0.009227662841955107,,,,,,,,,,,,,,,3.0,76840.63242703484,9.0
WT-1.tif,357,WT,1.0,0.0,0.0,,0.0,0.0,1.0,,,,,,,,,,,,,,371.0,0.0,0,,100.49747468305831,0.0,0.0,,0.9459254916565824,0.0,0.0,,0.8207964601769911,0.0,0.0,,-1.0914125277569853,0.0,0.0,,,,,,,,,,,,,,,,3.0,76840.63242703484,9.0
WT-1.tif,358,WT,1.0,0.0,0.0,,0.0,0.0,1.0,,,,,,,,,,,,,,141.0,0.0,0,,46.384776310850235,0.0,0.0,,0.639971459628639,0.0,0.0,,0.9155844155844156,0.0,0.0,,0.023195972443400284,0.0,0.0,,,,,,,,,,,,,,,,3.0,76840.63242703484,9.0
WT-1.tif,359,WT,1.0,0.0,0.0,,0.0,0.0,1.0,,,,,,,,,,,,,,126.0,0.0,0,,52.24873734152916,0.0,0.0,,0.9345785045286005,0.0,0.0,,0.8456375838926175,0.0,0.0,,1.4632029254372299,0.0,0.0,,,,,,,,,,,,,,,,3.0,76840.63242703484,9.0
WT-1.tif,360,WT,1.0,0.0,0.0,,0.0,0.0,1.0,,,,,,,,,,,,,,392.0,0.0,0,,93.1126983722081,0.0,0.0,,0.9389087808342889,0.0,0.0,,0.8730512249443207,0.0,0.0,,1.4153753668956024,0.0,0.0,,,,,,,,,,,,,,,,3.0,76840.63242703484,9.0
WT-1.tif,361,WT,1.0,0.0,0.0,,0.0,0.0,1.0,,,,,,,,,,,,,,86.0,0.0,0,,41.42031021678297,0.0,0.0,,0.9143176521857884,0.0,0.0,,0.8431372549019608,0.0,0.0,,0.9524577376221045,0.0,0.0,,,,,,,,,,,,,,,,3.0,76840.63242703484,9.0
WT-1.tif,362,WT,3.0,55.84764883896574,25.95109721903624,0.46467662933967185,18.615882946321914,33.75340749787958,1.0,0.46467662933967185,-0.2729484835344303,813.7240090780352,114.4468416352468,4.257695608908249e-08,-0.2729484835344303,813.7240090780352,114.4468416352468,4.257695608908249e-08,-0.2729484835344303,813.7240090780352,114.4468416352468,4.257695608908249e-08,240.66666666666666,-3.0,115,-60.499999999997954,71.17192154876265,0.7781745930520287,15.662950903902257,-6.275126265846861,0.9095037781812382,-0.026132147035280384,0.08429911207013552,-0.01011473803549243,0.8744586598317263,-0.012422423648538294,0.05370225013082153,-0.03927354871394762,-1.1641324621613107,0.17327305221717432,0.5129023348887657,0.0900949369899623,0.0,33.75340749787958,27.923824419481917,0.13717725188862548,281.0,275.0,-60.499999999997954,0.21961536094043568,0.9162469368715668,0.863982642801006,-0.01011473803549243,,0.7519146994851243,,3.0,76840.63242703484,9.0
WT-1.tif,363,WT,1.0,0.0,0.0,,0.0,0.0,1.0,,,,,,,,,,,,,,185.0,0.0,0,,74.11269837220809,0.0,0.0,,0.9756967359752855,0.0,0.0,,0.7872340425531915,0.0,0.0,,-1.242313255418131,0.0,0.0,,,,,,,,,,,,,,,,3.0,76840.63242703484,9.0
WT-1.tif,364,WT,1.0,0.0,0.0,,0.0,0.0,1.0,,,,,,,,,,,,,,205.0,0.0,0,,61.2842712474619,0.0,0.0,,0.8566992890433375,0.0,0.0,,0.8760683760683761,0.0,0.0,,-0.8335277445600631,0.0,0.0,,,,,,,,,,,,,,,,3.0,76840.63242703484,9.0
WT-1.tif,365,WT,8.0,20.258624776898316,5.297813017345966,0.26150901532996773,2.5323280971122895,5.510355353902425,1.0,0.26150901532996773,0.037041822545845655,14.357427294251334,0.9258581854517368,2.697754888516011e-07,0.037041822545845655,14.357427294251334,0.9258581854517368,2.697754888516011e-07,0.037041822545845655,14.357427294251334,0.9258581854517368,2.697754888516011e-07,172.5,-0.8571428571428571,91,-0.7619047619046901,60.8974701963396,0.30514842418872334,21.55634918610405,-0.42907948310558724,0.7722345994833859,-0.004536146075389848,0.2771701140441716,0.006892458509815941,0.8052495711942464,-0.0037283217491058673,0.12800189843379217,0.007286745831775871,-0.38889796236004914,0.009941645840320288,1.8779324438626692,-0.017441550457576314,1.964218910448443,1.5485837250017744,0.17307370985593953,-0.23133914502583253,197.5,183.5,-0.7619047619046901,0.21939176197294213,0.8124062229461042,0.8356495547649812,0.006892458509815941,-0.2457471048155582,0.7212260550342905,0.713700396285436,3.0,76840.63242703484,9.0
