track_id,Genotype,start,end,duration
1147,WT,43,43,1
1148,WT,44,44,1
1149,WT,44,44,1
1150,WT,44,44,1
1151,WT,44,44,1
1152,WT,45,45,1
1153,WT,45,47,3
1154,WT,45,45,1
1155,WT,46,47,2
1156,WT,46,47,2
1157,WT,47,47,1
1158,WT,47,48,2
1159,WT,47,49,3
1160,WT,48,49,2
1161,WT,48,48,1
1162,WT,49,59,17
1163,WT,49,50,5
1164,WT,50,50,1
1165,WT,50,61,15
1166,WT,50,50,1
1167,WT,51,120,139
1168,WT,51,94,127
1169,WT,52,52,1
1170,WT,52,52,1
1171,WT,53,53,1
1172,WT,53,54,2
1173,WT,55,55,1
1174,WT,55,57,3
1175,WT,55,55,1
1176,WT,56,56,1
1177,WT,56,57,2
1178,WT,56,56,1
1179,WT,57,57,1
1180,WT,57,57,1
1181,WT,58,120,219
1182,WT,58,62,5
1183,WT,58,62,5
1184,WT,59,59,1
1185,WT,59,66,8
1186,WT,60,69,19
1187,WT,63,65,3
1188,WT,63,72,10
1189,WT,63,78,16
1190,WT,63,92,75
1191,WT,64,64,1
1192,WT,64,64,1
1193,WT,64,74,11
1194,WT,64,64,1
1195,WT,65,91,54
1196,WT,66,76,11
1197,WT,67,67,1
1198,WT,68,68,1
1199,WT,70,78,9
1200,WT,71,71,1
1201,WT,71,71,1
1202,WT,72,72,1
1203,WT,72,72,1
1204,WT,74,120,47
1205,WT,74,74,1
1206,WT,76,76,1
1207,WT,76,78,3
1208,WT,76,78,3
1209,WT,76,80,8
1210,WT,76,77,2
1211,WT,77,80,4
1212,WT,77,78,2
1213,WT,77,78,2
1214,WT,78,120,43
1215,WT,78,78,1
1216,WT,78,84,7
1217,WT,82,96,18
1218,WT,83,83,1
1219,WT,83,110,52
1220,WT,83,89,7
1221,WT,84,85,2
1222,WT,85,114,36
1223,WT,86,86,1
1224,WT,86,89,4
1225,WT,86,87,2
1226,WT,88,88,1
1227,WT,88,91,4
1228,WT,88,88,1
1229,WT,89,89,1
1230,WT,89,89,1
1231,WT,90,91,2
1232,WT,91,103,13
1233,WT,92,92,1
1234,WT,92,102,26
1235,WT,93,104,21
1236,WT,93,93,1
1237,WT,93,93,1
1238,WT,94,94,1
1239,WT,94,95,2
1240,WT,94,110,76
1241,WT,95,95,1
1242,WT,95,95,1
1243,WT,95,96,2
1244,WT,95,98,4
1245,WT,96,97,2
1246,WT,96,120,55
1247,WT,97,101,11
1248,WT,97,97,1
1249,WT,98,98,1
1250,WT,99,99,1
1251,WT,99,101,3
1252,WT,101,101,1
1253,WT,102,105,4
1254,WT,102,110,9
1255,WT,102,104,3
1256,WT,103,103,1
1257,WT,103,109,15
1258,WT,104,108,5
1259,WT,104,106,3
1260,WT,105,105,1
1261,WT,106,106,1
1262,WT,106,108,3
1263,WT,106,106,1
1264,WT,107,107,1
1265,WT,108,108,1
1266,WT,108,116,12
1267,WT,109,109,1
1268,WT,110,119,13
1269,WT,110,114,5
1270,WT,110,110,1
1271,WT,111,111,1
1272,WT,111,115,5
1273,WT,111,111,1
1274,WT,112,120,9
1275,WT,112,120,12
1276,WT,112,120,56
1277,WT,112,116,5
1278,WT,113,117,5
1279,WT,114,117,4
1280,WT,114,114,1
1281,WT,114,114,1
1282,WT,114,114,1
1283,WT,114,114,1
1284,WT,115,116,2
1285,WT,116,120,5
1286,WT,116,118,3
1287,WT,116,120,5
1288,WT,116,117,2
1289,WT,116,117,2
1290,WT,117,117,1
1291,WT,119,120,2
1292,WT,119,120,2
1293,WT,119,120,2
1294,WT,119,119,1
1295,WT,119,120,2
1296,WT,0,12,13
1297,WT,0,33,58
1298,WT,0,4,11
1299,WT,0,5,9
1300,WT,0,4,8
1301,WT,0,2,3
1302,WT,0,32,33
1303,WT,0,0,1
1304,WT,0,2,3
1305,WT,0,38,42
1306,WT,0,3,4
1307,WT,0,18,28
1308,WT,0,13,42
1309,WT,0,1,2
1310,WT,0,1,2
1311,WT,0,0,1
1312,WT,0,1,2
1313,WT,0,1,2
1314,WT,0,20,30
1315,WT,0,2,3
1316,WT,1,1,1
1317,WT,1,1,1
1318,WT,1,4,4
1319,WT,1,1,1
1320,WT,2,5,15
1321,WT,2,2,1
1322,WT,2,2,1
1323,WT,2,2,1
1324,WT,3,5,3
1325,WT,3,33,31
1326,WT,3,11,9
1327,WT,3,4,2
1328,WT,3,3,1
1329,WT,3,3,1
1330,WT,3,10,11
1331,WT,4,4,1
1332,WT,4,4,1
1333,WT,4,5,2
1334,WT,5,5,1
1335,WT,5,5,1
1336,WT,5,5,1
1337,WT,6,16,17
1338,WT,6,6,1
1339,WT,6,7,2
1340,WT,6,6,1
1341,WT,6,10,8
1342,WT,7,7,1
1343,WT,7,8,2
1344,WT,7,13,7
1345,WT,7,7,1
1346,WT,7,9,3
1347,WT,8,9,2
1348,WT,8,8,1
1349,WT,9,52,74
1350,WT,9,11,3
1351,WT,9,9,1
1352,WT,9,12,4
1353,WT,9,11,6
1354,WT,10,10,1
1355,WT,10,10,1
1356,WT,11,12,2
1357,WT,11,12,2
1358,WT,12,14,3
1359,WT,12,15,4
1360,WT,12,12,1
1361,WT,12,23,18
1362,WT,13,20,8
1363,WT,13,13,1
1364,WT,13,22,19
1365,WT,14,14,1
1366,WT,14,17,4
1367,WT,14,14,1
1368,WT,15,20,9
1369,WT,15,21,7
1370,WT,15,15,1
1371,WT,16,16,1
1372,WT,16,16,1
1373,WT,16,18,3
1374,WT,17,17,1
1375,WT,17,21,5
1376,WT,18,40,53
1377,WT,18,18,1
1378,WT,18,21,7
1379,WT,19,19,1
1380,WT,19,19,1
1381,WT,20,27,8
1382,WT,20,20,1
1383,WT,20,24,13
1384,WT,21,22,2
1385,WT,22,22,1
1386,WT,22,22,1
1387,WT,22,33,12
1388,WT,22,22,1
1389,WT,23,44,28
1390,WT,23,23,1
1391,WT,24,30,7
1392,WT,24,24,1
1393,WT,24,25,2
1394,WT,25,32,20
1395,WT,25,26,2
1396,WT,25,51,41
1397,WT,25,26,2
1398,WT,26,26,1
1399,WT,26,26,1
1400,WT,26,26,1
1401,WT,26,27,2
1402,WT,26,29,4
1403,WT,26,26,1
1404,WT,27,27,1
1405,WT,28,32,8
