metric,n,n_nonnull,pct_missing,pct_zero,min,p25,median,p75,max,skewness
early_speed_mean,4263,1763,58.64,42.14,0.0,0.0,1.5855729134319236,7.573191351826896,45.53949074294583,1.8552
solidity_delta_max,4263,4263,0.0,44.12,0.0,0.0,0.0210900473933648,0.11110412462838609,0.5814933073097999,1.7193
late_speed_mean,4263,1763,58.64,0.0,0.062925636837912,3.133631934873332,7.46943147570587,17.103441540940857,101.46516933562552,1.6732
orientation_delta_max,4263,4263,0.0,44.12,0.0,0.0,0.0293988894319876,0.5371851355620061,3.1393642808192976,1.5053
eccentricity_slope,4263,2382,44.12,0.0,-0.4381950030412163,-0.00902933690172005,-0.0002463703408416,0.006576325993131875,0.7115903904685884,1.2373
solidity_delta_mean,4263,4263,0.0,44.17,-0.4640259876535524,-0.0009654263841329,0.0,0.0016726081019095,0.5534456064576834,1.2343
g_peak,4263,4263,0.0,0.0,28767.976859964223,43881.563386518246,53552.42899331434,105265.95775882054,174053.63183145554,1.2019
area_volatility,4263,1763,58.64,0.0,0.0068031921220593,0.1840120438392945,0.313176770766799,0.47555406329606814,1.574283499250341,1.1032
speed_cv,4263,1763,58.64,0.0,0.3224748734735028,0.6969983661110145,0.7966950196890894,0.9794678297121566,2.2008143452656324,0.9929
eccentricity_delta_mean,4263,4263,0.0,44.15,-0.5033423981867498,-0.00085456527884015,0.0,0.0005287925932402,0.7115903904685817,0.6264
directional_consistency,4263,1407,67.0,0.0,0.5139573113468814,0.6654784436207866,0.7130002768257306,0.8911359701648338,1.0,0.6033
corr_length,4263,4263,0.0,0.0,7.0,9.0,9.0,11.0,13.0,0.4988
solidity_slope,4263,2382,44.12,0.0,-0.4640259876535484,-0.009051641261367024,0.00030660865340185,0.01162175535194725,0.3810301687761255,0.4608
directionality_ratio,4263,2382,44.12,0.0,0.0012280306386446,0.11645324034664578,0.40433967113048797,1.0,1.0,0.1391
persistence_fraction,4263,2382,44.12,0.0,0.0012280306386446,0.11645324034664578,0.40433967113048797,1.0,1.0,0.1391
r_peak,4263,4263,0.0,0.0,3.0,3.0,3.0,3.0,3.0,0.0
n_stationary,4263,4263,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0
orientation_delta_mean,4263,4263,0.0,44.15,-3.121920656319124,-0.0034736549394907,0.0,0.0031853668087634002,3.133671820792026,-0.1152
perimeter_slope,4263,2382,44.12,0.0,-332.9629867976517,-5.88832521472474,-0.24496078161226154,4.072056274847705,343.8660530717297,-0.1892
orientation_slope,4263,2382,44.12,0.0,-3.1164915115679164,-0.037843169139746904,-0.00021608270704690001,0.035683520439763555,3.13367182079202,-0.2247
temporal_persistence,4263,1407,67.0,0.0,-0.9999970891129892,-0.19459932097229532,0.2069624310930918,0.48448298283149216,0.9999294844919928,-0.3788
perimeter_delta_mean,4263,4263,0.0,44.22,-584.6417023478423,-0.9667959236595696,0.0,0.19804911888996568,457.4873734152917,-0.524
area_delta_mean,4263,4263,0.0,44.45,-2655.0,-4.0,0.0,1.4142857142857141,2275.0,-0.5357
orientation_mean,4263,4263,0.0,0.05,-1.570499478138644,-0.7043958927018061,0.6546137833492822,1.138904958176719,1.5707963267948966,-0.5673
area_slope,4263,2382,44.12,0.0,-1794.0000000000075,-24.931006493506526,-0.6874137484906037,18.352418851193566,1506.9999999999893,-0.7722
eccentricity_trend_slope,4263,1763,58.64,0.0,-0.4381950030412163,-0.0061378932327167,-0.0001646893486287,0.00500233571142315,0.2805344762172009,-1.5258
solidity_mean,4263,4263,0.0,0.0,0.3222543352601156,0.8111335969705064,0.8582757233555303,0.8972282678274228,1.0,-1.6033
early_eccentricity_mean,4263,1763,58.64,0.0,0.2397113784525553,0.8560386929637509,0.9266347744429244,0.9676309918907474,0.9986607757732028,-1.9051
late_eccentricity_mean,4263,1763,58.64,0.11,0.0,0.852962899904248,0.9247622362060898,0.9659774681231962,0.9987188367494776,-2.2362
area_trend_slope,4263,1763,58.64,0.0,-1586.4999999999986,-19.284796437658983,-0.8214285714285748,13.204378501560535,1075.9999999999995,-2.6996
eccentricity_mean,4263,4263,0.0,0.42,0.0,0.8562333608180516,0.9264276214323828,0.9686867570340454,1.0,-3.0546
speed_acceleration,4263,1763,58.64,0.0,-34.544569230759414,-1.2048214584985892,-0.187882366903115,0.0048923196273034,13.58581853958095,-3.0856
alpha_y,4263,1763,58.64,0.0,-16.236899209003255,-0.188231482359265,0.2094148451386968,0.8171402664650876,1.9996583352844712,-3.2829
alpha_x,4263,1763,58.64,0.0,-16.236899209003255,-0.188231482359265,0.2094148451386968,0.8171402664650876,1.9996583352844712,-3.2829
alpha,4263,1763,58.64,0.0,-16.236899209003255,-0.188231482359265,0.2094148451386968,0.8171402664650876,1.9996583352844712,-3.2829
